scenario,algorithm,artifact_path,artifact_role,route_mode,route_source,inference_threshold,accuracy,jaccard,sf_jaccard,sf_accuracy,ET,median_execution_time,N_pairs,tp,fp,fn,tn,precision,recall,f1,runs,benchmark,family,family_base,variant,experiment_tag,channel_contract,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,inference_batch_size,encoder_batch_size,learning_rate,loss,negative_ratio,hard_negative_mining,hard_negative_strategy,hard_negative_agent,hard_negative_manifest_path,hard_negative_manifest_id,optimizer,dropout,drop_path_rate,weight_decay,requested_device,resolved_device,mps_available,mps_fallback_reason,threshold,candidate_pairs,elapsed_seconds,tp_per_second,pickle_path,metadata_path
graph_SOR16_D4_seed42,GNN GenAI v2 Hard Negatives,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/hard_negatives/GNN_tpcds_genai_spec_v2_hard_negatives_graph_SOR16_D4_seed42.pkl,genai_spec_v2_hard_negatives,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.786232,0.0,0.0,5037.115825,0.04308,0.04308,276,0,0,59,217,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D5_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.51954,0.196154,271.984074,720.386937,0.31372,0.31372,435,51,167,42,175,0.233945,0.548387,0.327974,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D5_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.786207,0.0,0.0,1288.835431,0.265356,0.265356,435,0,0,93,342,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D5_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR16_D5_seed42.pkl,baseline_tpcds_pickle,scenario_specific,TPC-DS v1 pickle map,0.5,0.213793,0.213793,1078.26087,1078.26087,0.08625,0.08625,435,93,342,0,0,0.213793,1.0,0.352273,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D5_seed42,GNN GenAI v2 Weighted BCE,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/weighted_bce/GNN_tpcds_genai_spec_v2_weighted_bce_graph_SOR16_D5_seed42.pkl,genai_spec_v2_weighted_bce,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.213793,0.213793,1225.294425,1225.294425,0.0759,0.0759,435,93,342,0,0,0.213793,1.0,0.352273,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D5_seed42,GNN GenAI v2 Focal Loss,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/focal_loss/GNN_tpcds_genai_spec_v2_focal_loss_graph_SOR16_D5_seed42.pkl,genai_spec_v2_focal_loss,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.786207,0.0,0.0,4777.637305,0.071583,0.071583,435,0,0,93,342,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR16_D5_seed42,GNN GenAI v2 Hard Negatives,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/hard_negatives/GNN_tpcds_genai_spec_v2_hard_negatives_graph_SOR16_D5_seed42.pkl,genai_spec_v2_hard_negatives,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.786207,0.0,0.0,4889.98429,0.069939,0.069939,435,0,0,93,342,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D1_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.0,0.0,0.0,0.0,0.000517,0.000517,1,0,0,1,0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D1_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.0,0.0,0.0,0.0,0.000372,0.000372,1,0,0,1,0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D1_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR2_D1_seed42.pkl,baseline_tpcds_pickle,scenario_specific,TPC-DS v1 pickle map,0.5,1.0,1.0,2284.192361,2284.192361,0.000438,0.000438,1,1,0,0,0,1.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
