config_id,strategy_key,strategy_label,model_family,balance_strategy,loss_name,negative_ratio,learning_rate,hidden_channels,dropout,threshold,optimizer,screening_epochs,full_validation_epochs,train_ratio,seed,stage,scenario,model_path,cached,training_wall_seconds,accuracy,jaccard,sf_jaccard,sf_accuracy,ET,N_pairs,tp,fp,fn,tn
weighted_bce_lr0p001_h16_d0p1_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.5,adam,5,5,0.8,42,screening,graph_SOR4_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p5/graph_SOR4_D5_seed42.pkl,False,0.752506,0.2,0.2,784.947597,784.947597,0.048411,190,38,152,0,0
weighted_bce_lr0p001_h16_d0p1_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.5,adam,5,5,0.8,42,screening,graph_SOR8_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p5/graph_SOR8_D5_seed42.pkl,False,1.84044,0.581609,0.3,1050.941815,2037.458079,0.124174,435,78,167,15,175
weighted_bce_lr0p001_h16_d0p1_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.5,adam,5,5,0.8,42,screening,graph_SOR16_D3_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p5/graph_SOR16_D3_seed42.pkl,False,0.665622,0.215686,0.215686,668.149757,668.149757,0.04939,153,33,120,0,0
weighted_bce_lr0p001_h16_d0p1_t0p5,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.5,adam,5,5,0.8,42,screening,graph_SOR16_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p5/graph_SOR16_D5_seed42.pkl,False,2.441227,0.422989,0.232416,592.633287,1078.571071,0.170596,435,76,234,17,108
weighted_bce_lr0p001_h16_d0p1_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.6,adam,5,5,0.8,42,screening,graph_SOR2_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p6/graph_SOR2_D5_seed42.pkl,False,0.267095,0.711111,0.0,0.0,1442.491926,0.022184,45,0,0,13,32
weighted_bce_lr0p001_h16_d0p1_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.6,adam,5,5,0.8,42,screening,graph_SOR4_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p6/graph_SOR4_D5_seed42.pkl,False,0.980277,0.8,0.0,0.0,2824.841223,0.053808,190,0,0,38,152
weighted_bce_lr0p001_h16_d0p1_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.6,adam,5,5,0.8,42,screening,graph_SOR8_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p6/graph_SOR8_D5_seed42.pkl,False,1.777851,0.751724,0.035714,127.983543,2693.832914,0.121388,435,4,19,89,323
weighted_bce_lr0p001_h16_d0p1_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.6,adam,5,5,0.8,42,screening,graph_SOR16_D3_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p6/graph_SOR16_D3_seed42.pkl,False,0.636104,0.784314,0.0,0.0,2701.865976,0.044414,153,0,0,33,120
weighted_bce_lr0p001_h16_d0p1_t0p6,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,16,0.1,0.6,adam,5,5,0.8,42,screening,graph_SOR16_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h16_d0p1_t0p6/graph_SOR16_D5_seed42.pkl,False,1.905229,0.786207,0.0,0.0,2184.96495,0.156524,435,0,0,93,342
weighted_bce_lr0p001_h32_d0p0_t0p4,weighted_bce,Weighted BCE,GNN GenAI Spec Protocol Weighted BCE,class_weighted_loss,bce_with_logits,1,0.001,32,0.0,0.4,adam,5,5,0.8,42,screening,graph_SOR2_D5_seed42,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_protocol/screening_models/weighted_bce_lr0p001_h32_d0p0_t0p4/graph_SOR2_D5_seed42.pkl,False,0.251083,0.288889,0.288889,692.098298,692.098298,0.018783,45,13,32,0,0
