config_id,rank,strategy_label,balance_strategy,loss_name,learning_rate,hidden_channels,dropout,threshold,screening_scenarios,mean_sf_jaccard,mean_jaccard,mean_accuracy,median_ET,tp,fp,fn,tn
focal_loss_lr0p001_h16_d0p0_t0p5,81,Focal Loss,none_real_distribution,focal_loss,0.001,16,0.0,0.5,5,0.0,0.0,0.773568,0.073178,0,0,270,988
hard_negatives_lr0p005_h32_d0p1_t0p5,82,Hard Negatives,hard_negative_mining,bce_with_logits,0.005,32,0.1,0.5,5,0.0,0.0,0.773568,0.073442,0,0,270,988
focal_loss_lr0p005_h32_d0p0_t0p6,83,Focal Loss,none_real_distribution,focal_loss,0.005,32,0.0,0.6,5,0.0,0.0,0.773568,0.073669,0,0,270,988
focal_loss_lr0p01_h32_d0p1_t0p6,84,Focal Loss,none_real_distribution,focal_loss,0.01,32,0.1,0.6,5,0.0,0.0,0.773568,0.074219,0,0,270,988
focal_loss_lr0p01_h32_d0p1_t0p5,85,Focal Loss,none_real_distribution,focal_loss,0.01,32,0.1,0.5,5,0.0,0.0,0.773568,0.074294,0,0,270,988
focal_loss_lr0p01_h16_d0p0_t0p4,86,Focal Loss,none_real_distribution,focal_loss,0.01,16,0.0,0.4,5,0.0,0.0,0.773568,0.074421,0,0,270,988
hard_negatives_lr0p001_h16_d0p1_t0p5,87,Hard Negatives,hard_negative_mining,bce_with_logits,0.001,16,0.1,0.5,5,0.0,0.0,0.773568,0.074546,0,0,270,988
hard_negatives_lr0p001_h32_d0p0_t0p6,88,Hard Negatives,hard_negative_mining,bce_with_logits,0.001,32,0.0,0.6,5,0.0,0.0,0.773568,0.075251,0,0,270,988
hard_negatives_lr0p01_h16_d0p0_t0p6,89,Hard Negatives,hard_negative_mining,bce_with_logits,0.01,16,0.0,0.6,5,0.0,0.0,0.773568,0.075282,0,0,270,988
focal_loss_lr0p005_h32_d0p0_t0p5,90,Focal Loss,none_real_distribution,focal_loss,0.005,32,0.0,0.5,5,0.0,0.0,0.773568,0.076118,0,0,270,988
hard_negatives_lr0p005_h16_d0p1_t0p6,91,Hard Negatives,hard_negative_mining,bce_with_logits,0.005,16,0.1,0.6,5,0.0,0.0,0.773568,0.076144,0,0,270,988
hard_negatives_lr0p01_h32_d0p1_t0p4,92,Hard Negatives,hard_negative_mining,bce_with_logits,0.01,32,0.1,0.4,5,0.0,0.0,0.773568,0.076299,0,0,270,988
focal_loss_lr0p005_h32_d0p1_t0p4,93,Focal Loss,none_real_distribution,focal_loss,0.005,32,0.1,0.4,5,0.0,0.0,0.773568,0.077132,0,0,270,988
focal_loss_lr0p001_h32_d0p0_t0p6,94,Focal Loss,none_real_distribution,focal_loss,0.001,32,0.0,0.6,5,0.0,0.0,0.773568,0.077405,0,0,270,988
focal_loss_lr0p001_h16_d0p1_t0p4,95,Focal Loss,none_real_distribution,focal_loss,0.001,16,0.1,0.4,5,0.0,0.0,0.773568,0.077531,0,0,270,988
focal_loss_lr0p001_h32_d0p1_t0p4,96,Focal Loss,none_real_distribution,focal_loss,0.001,32,0.1,0.4,5,0.0,0.0,0.773568,0.07793,0,0,270,988
focal_loss_lr0p005_h16_d0p1_t0p6,97,Focal Loss,none_real_distribution,focal_loss,0.005,16,0.1,0.6,5,0.0,0.0,0.773568,0.078798,0,0,270,988
hard_negatives_lr0p01_h32_d0p0_t0p5,98,Hard Negatives,hard_negative_mining,bce_with_logits,0.01,32,0.0,0.5,5,0.0,0.0,0.773568,0.079889,0,0,270,988
hard_negatives_lr0p01_h16_d0p0_t0p5,99,Hard Negatives,hard_negative_mining,bce_with_logits,0.01,16,0.0,0.5,5,0.0,0.0,0.773568,0.080256,0,0,270,988
focal_loss_lr0p01_h16_d0p1_t0p4,100,Focal Loss,none_real_distribution,focal_loss,0.01,16,0.1,0.4,5,0.0,0.0,0.773568,0.081344,0,0,270,988
focal_loss_lr0p005_h16_d0p1_t0p5,101,Focal Loss,none_real_distribution,focal_loss,0.005,16,0.1,0.5,5,0.0,0.0,0.773568,0.08225,0,0,270,988
focal_loss_lr0p01_h16_d0p0_t0p6,102,Focal Loss,none_real_distribution,focal_loss,0.01,16,0.0,0.6,5,0.0,0.0,0.773568,0.08327,0,0,270,988
focal_loss_lr0p005_h16_d0p1_t0p4,103,Focal Loss,none_real_distribution,focal_loss,0.005,16,0.1,0.4,5,0.0,0.0,0.773568,0.089903,0,0,270,988
focal_loss_lr0p01_h32_d0p0_t0p6,104,Focal Loss,none_real_distribution,focal_loss,0.01,32,0.0,0.6,5,0.0,0.0,0.773568,0.094875,0,0,270,988
weighted_bce_lr0p01_h32_d0p0_t0p6,105,Weighted BCE,class_weighted_loss,bce_with_logits,0.01,32,0.0,0.6,5,0.0,0.0,0.773568,0.097529,0,0,270,988
focal_loss_lr0p01_h32_d0p0_t0p5,106,Focal Loss,none_real_distribution,focal_loss,0.01,32,0.0,0.5,5,0.0,0.0,0.773568,0.101728,0,0,270,988
focal_loss_lr0p01_h16_d0p0_t0p5,107,Focal Loss,none_real_distribution,focal_loss,0.01,16,0.0,0.5,5,0.0,0.0,0.773568,0.10721,0,0,270,988
hard_negatives_lr0p001_h16_d0p0_t0p6,108,Hard Negatives,hard_negative_mining,bce_with_logits,0.001,16,0.0,0.6,5,0.0,0.0,0.773568,0.124753,0,0,270,988
